id,name,description,keywords,image_url,category,origin,color,season
1,Xoài Cát Chu,"Xoài Cát Chu có vị ngọt thanh, thịt quả mềm mịn, ít xơ, màu vàng tươi khi chín, vỏ mỏng và thơm đặc trưng.","ngọt, thơm, vàng, ít xơ, mùa hè",http://localhost:5000/static/images/xoai_cat_chu.jpg,Trái cây nhiệt đới,Đồng bằng sông Cửu Long,"vàng, xanh lá",mùa hè
2,Cam Sành,"Cam Sành có vị chua ngọt dịu, nhiều nước, vỏ dày và sần sùi, màu xanh đậm khi non và chuyển sang vàng cam khi chín.","chua ngọt, mọng nước, vitamin C, thanh nhiệt",http://localhost:5000/static/images/cam_sanh.jpg,Trái cây có múi,Miền Tây,"xanh đậm, cam",quanh năm
3,Thanh Long Ruột Đỏ,"Thanh Long ruột đỏ có vỏ hồng tím bắt mắt, ruột đỏ tươi với hạt đen nhỏ, vị ngọt nhẹ, giòn mát, giàu vitamin.","ngọt nhẹ, giòn, mát, ruột đỏ, hạt đen",http://localhost:5000/static/images/thanh_long_do.jpg,Trái cây nhiệt đới,Bình Thuận,"hồng, đỏ, trắng",quanh năm
4,Quả Jicama (Củ Đậu),"Quả Jicama (Củ Đậu) củ tròn, màu nâu nhạt, thịt trắng, giòn, ngọt mát, thường ăn sống.","ngọt mát, giòn, ăn sống",http://localhost:5000/static/images/jicama.jpg,Rau ăn củ,Mexico,"nâu, trắng",quanh năm
5,Dâu Tây Đà Lạt,"Dâu Tây Đà Lạt quả nhỏ, hình trái tim, màu đỏ tươi, vị chua ngọt hài hòa, thơm đặc trưng.","chua ngọt, thơm, đỏ, nhỏ",http://localhost:5000/static/images/dau_tay_da_lat.jpg,Quả mọng,Đà Lạt,đỏ,"mùa đông, xuân"
6,Nhãn Lồng Hưng Yên,"Nhãn Lồng Hưng Yên vỏ mỏng, cùi dày, hạt nhỏ, vị ngọt lịm, hương thơm đặc trưng, ăn rất giòn.","ngọt lịm, giòn, cùi dày, hạt nhỏ",http://localhost:5000/static/images/nhan_long.jpg,Trái cây nhiệt đới,Hưng Yên,"nâu, trắng",mùa hè
7,Vải Thiều Lục Ngạn,"Vải Thiều Lục Ngạn quả tròn, vỏ đỏ tươi khi chín, cùi dày, hạt nhỏ, vị ngọt đậm, mọng nước, thơm lừng.","ngọt đậm, mọng nước, thơm, hạt nhỏ",http://localhost:5000/static/images/vai_thieu.jpg,Trái cây nhiệt đới,Bắc Giang,"đỏ, trắng",mùa hè
8,Sầu Riêng Ri6,"Sầu Riêng Ri6 cơm vàng tươi, hạt lép, vị ngọt béo đậm đà, hương thơm nồng nàn đặc trưng.","ngọt béo, thơm nồng, hạt lép, vàng",http://localhost:5000/static/images/sau_rieng_ri6.jpg,Trái cây nhiệt đới,Miền Tây,"xanh, vàng",mùa hè
9,Ổi Lê,"Ổi Lê có vỏ xanh ngả vàng, ruột trắng, thịt dày, giòn, vị ngọt mát, ít hạt.","giòn, ngọt mát, ít hạt, trắng",http://localhost:5000/static/images/oi_le.jpg,Trái cây phổ biến,Đồng bằng sông Cửu Long,"xanh, trắng",quanh năm
10,Chuối Tiêu Hồng,"Chuối Tiêu Hồng quả to dài, vỏ mỏng, thịt vàng đậm, vị ngọt sắc, thơm lừng, rất mềm.","ngọt sắc, thơm, mềm, vàng",http://localhost:5000/static/images/chuoi_tieu_hong.jpg,Trái cây nhiệt đới,Nhiều nơi,"vàng, xanh",quanh năm
